snr_db,ofdm_cp_true_eq_mean,ofdm_cp_true_eq_std,ofdm_cp_true_eq_se,ofdm_cp_true_eq_ci95,ofdm_cp_ls_eq_mean,ofdm_cp_ls_eq_std,ofdm_cp_ls_eq_se,ofdm_cp_ls_eq_ci95,ofdm_no_cp_true_eq_mean,ofdm_no_cp_true_eq_std,ofdm_no_cp_true_eq_se,ofdm_no_cp_true_eq_ci95,ofdm_cp_no_eq_mean,ofdm_cp_no_eq_std,ofdm_cp_no_eq_se,ofdm_cp_no_eq_ci95,pam_awgn_matched_filter_mean,pam_awgn_matched_filter_std,pam_awgn_matched_filter_se,pam_awgn_matched_filter_ci95,pam_multipath_matched_filter_mean,pam_multipath_matched_filter_std,pam_multipath_matched_filter_se,pam_multipath_matched_filter_ci95
-2.0,0.14374175824175822,0.00199942631549957,0.00044708531574589797,0.00087628721886196,0.25874175824175827,0.023865948105718893,0.005336588231186978,0.010459712933126477,0.14890384615384616,0.0021800523120582586,0.00048747451642678507,0.0009554500521964987,0.17210164835164832,0.0024136275422664178,0.0005397035256873456,0.0010578189103471974,0.012667582417582418,0.0006514554033729766,0.00014566985662515215,0.0002855129189852982,0.2520824175824176,0.0031818183469013795,0.0007114762115727492,0.0013944933746825885
0.0,0.10133516483516483,0.0016520202091353808,0.00036940294878301305,0.0007240297796147055,0.20105494505494503,0.021299358316441405,0.004762681307268845,0.009334855362246937,0.1062087912087912,0.002704055999860281,0.000604645303065375,0.001185104794008135,0.1288708791208791,0.0022726885459415924,0.0005081886080410555,0.0009960496717604686,0.002384615384615385,0.00034631217288576363,7.743775600082269e-05,0.00015177800176161249,0.24408516483516488,0.00430887083151533,0.000963492808553432,0.0018884459047647268
2.0,0.06726098901098901,0.0020159176755930523,0.0004507728959669433,0.0008835148760952089,0.13306043956043956,0.014334448839025671,0.003205280202405434,0.00628234919671465,0.07188736263736265,0.0018169313910895992,0.00040627821009295994,0.0007963052917822015,0.09331043956043955,0.0020843989652022136,0.00046608577784223684,0.0009135281245707842,0.00020604395604395604,9.905360646879092e-05,2.214905974807294e-05,4.341215710622296e-05,0.23944505494505494,0.0045296542217423364,0.0010128614754384769,0.0019852084918594148
4.0,0.04282967032967033,0.001769995775247667,0.0003957830873341223,0.0007757348511748796,0.0843434065934066,0.014208722490962599,0.003177166936322251,0.006227247195191612,0.04785989010989011,0.0015823969979703518,0.0003538347254853303,0.0006935160619512474,0.06592307692307693,0.0018373090890218553,0.00041083480187310807,0.0008052362116712918,0.0,0.0,0.0,0.0,0.23687087912087917,0.005195951056802947,0.001161849977077326,0.0022772259550715586
6.0,0.0271456043956044,0.0012190629094662887,0.00027259075344152934,0.0005342778767453975,0.05150000000000001,0.01114891040607466,0.0024929721543037724,0.004886225422435394,0.03176098901098901,0.001118744352308688,0.00025015884212062,0.0004903113305564151,0.04616208791208791,0.0011647799183729674,0.0002604527076308611,0.0005104873069564878,0.0,0.0,0.0,0.0,0.2378626373626374,0.003612892726616017,0.0008078673732127977,0.0015834200514970834
8.0,0.017197802197802196,0.0009429543415879839,0.00021085100074692888,0.0004132679614639806,0.03070604395604396,0.006708658102074484,0.0015001015554043267,0.0029401990485924804,0.02178021978021978,0.0009253325603671516,0.00020691065067748787,0.0004055448753278762,0.03208241758241758,0.0009454617333720791,0.00021141167059447502,0.00041436687436517103,0.0,0.0,0.0,0.0,0.2396868131868132,0.004871899600394035,0.0010893898686035123,0.0021352041424628843
10.0,0.01092857142857143,0.0007583926221028298,0.0001695817456656237,0.00033238022150462244,0.022398351648351647,0.009210250042843355,0.002059474518556809,0.004036570056371346,0.01559065934065934,0.0010677890461803744,0.00023876488928889793,0.0004679791830062399,0.022502747252747254,0.0006567993728706125,0.00014686480453179207,0.00028785501688231244,0.0,0.0,0.0,0.0,0.24597802197802196,0.004464205854159579,0.000998226775545333,0.001956524480068853
12.0,0.007307692307692307,0.0006249463714526708,0.00013974225688600058,0.00027389482349656115,0.013508241758241757,0.004715724507805501,0.0010544680562614838,0.002066757390272508,0.012260989010989012,0.000727679513938792,0.00016271408590011444,0.0003189196083642243,0.01636538461538462,0.0007000800772811935,0.00015654266424940547,0.0003068236219288347,0.0,0.0,0.0,0.0,0.2490604395604396,0.003374063418958536,0.0007544635165186638,0.0014787484923765811
14.0,0.004903846153846154,0.0004118950773033298,9.210253924477762e-05,0.00018052097691976415,0.008664835164835166,0.004030376936216615,0.0009012196804327685,0.0017663905736482262,0.010315934065934066,0.0005403747246549446,0.00012083146176511876,0.00023682966505963278,0.012593406593406593,0.0005429341752057258,0.00012140377230677837,0.0002379513937212856,0.0,0.0,0.0,0.0,0.24889835164835167,0.003302889655363278,0.0007385485791573141,0.0014475552151483357
16.0,0.0030164835164835165,0.00034285380609667845,7.666444167767048e-05,0.00015026230568823413,0.0058324175824175815,0.0037655047286328943,0.000841992454282005,0.0016503052103927298,0.009087912087912087,0.0007115889832916139,0.00015911613386800107,0.0003118676223812821,0.009923076923076922,0.0006455567091651143,0.0001443508685024257,0.00028292770226475436,0.0,0.0,0.0,0.0,0.24984340659340662,0.005226709199740961,0.0011687277069244314,0.0022907063055718855
